Obs		        data_combined_dilepton_2016.root
DY		        DYJetsToLL_M-10to50_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8_Summer16.root  	                        18610
DY	            DYJetsToLL_M-50_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8_Summer16.root		                        5765.4
TTDiLep		    TTJets_DiLept_TuneCUETP8M1_13TeV-madgraphMLM-pythia8_Summer16.root                    		        87.31483776
TTSingleLep		TTJets_SingleLeptFromT_TuneCUETP8M1_13TeV-madgraphMLM-pythia8_Summer16.root		                    182.17540224
TTSingleLep		TTJets_SingleLeptFromTbar_TuneCUETP8M1_13TeV-madgraphMLM-pythia8_Summer16.root	                    182.17540224
WJets	        WJetsToLNu_TuneCUETP8M1_13TeV-madgraphMLM-pythia8_Summer16.root				                        61526.7
VV		        WZTo3LNu_TuneCUETP8M1_13TeV-powheg-pythia8_Summer16.root						                    4.42965
VV	    	    ZZTo4L_13TeV_powheg_pythia8_Summer16.root								                            1.256
VV              ZZTo2L2Nu_13TeV_powheg_pythia8_ext1_Summer16.root                                                   0.564 
VV              ZZTo2L2Q_13TeV_powheg_pythia8_Summer16.root                                                         3.22 
VV              WWTo2L2Nu_13TeV-powheg_Summer16.root                                                                12.178 
VV		        WWW_4F_TuneCUETP8M1_13TeV-amcatnlo-pythia8_Summer16.root					                        0.2086
VV		        WWZ_TuneCUETP8M1_13TeV-amcatnlo-pythia8_Summer16.root						                        0.1651
VV		        WZZ_TuneCUETP8M1_13TeV-amcatnlo-pythia8_Summer16.root						                        0.05565
VV		        ZZZ_TuneCUETP8M1_13TeV-amcatnlo-pythia8_Summer16.root						                        0.01398						
TTX             TTGJets_TuneCUETP8M1_13TeV-amcatnloFXFX-madspin-pythia8_Summer16.root                               3.697
TTX	            TTWJetsToLNu_TuneCUETP8M1_13TeV-amcatnloFXFX-madspin-pythia8_Summer16.root     	                    0.2043
TTX	            TTWJetsToQQ_TuneCUETP8M1_13TeV-amcatnloFXFX-madspin-pythia8_Summer16.root			                0.40620
TTX		        TTZToLLNuNu_M-10_TuneCUETP8M1_13TeV-amcatnlo-pythia8_Summer16.root					                0.2728
TTX		        TTZToLL_M-1to10_TuneCUETP8M1_13TeV-madgraphMLM-pythia8_Summer16.root				                0.0283
ST	            ST_s-channel_4f_leptonDecays_13TeV-amcatnlo-pythia8_TuneCUETP8M1_Summer16.root				        3.68064
ST		        ST_t-channel_antitop_4f_inclusiveDecays_13TeV-powhegV2-madspin-pythia8_TuneCUETP8M1_Summer16.root   80.95
ST		        ST_t-channel_top_4f_inclusiveDecays_13TeV-powhegV2-madspin-pythia8_TuneCUETP8M1_Summer16.root      	136.02
ST		        ST_tW_top_5f_inclusiveDecays_13TeV-powheg-pythia8_TuneCUETP8M1_Summer16.root           				35.85
ST		        ST_tW_antitop_5f_inclusiveDecays_13TeV-powheg-pythia8_TuneCUETP8M1_Summer16.root   				    35.85
ST		        TGJets_TuneCUETP8M1_13TeV_amcatnlo_madspin_pythia8_Summer16.root						            2.967
ST	            tZq_ll_4f_13TeV-amcatnlo-pythia8_Summer16.root								                        0.0942
